text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
100,10,2.6197e-06,20,2.4311e-06,30,2.544e-06,40,5.8292e-06,50,3.8278e-06,60,2.8501e-06,70,3.5032e-06,80,3.9596e-06,90,2.7928e-06,100,2.8872e-06
200,10,2.5052e-06,20,2.8583e-06,30,3.2856e-06,40,3.2715e-06,50,3.013e-06,60,3.2152e-06,70,3.8908e-06,80,3.4533e-06,90,3.3476e-06,100,4.5548e-06
300,10,2.7664e-06,20,3.3774e-06,30,2.7089e-06,40,3.4737e-06,50,3.6196e-06,60,3.3652e-06,70,3.4599e-06,80,4.5107e-06,90,4.1196e-06,100,5.3751e-06
400,10,3.4521e-06,20,3.3201e-06,30,3.4683e-06,40,3.0852e-06,50,3.443e-06,60,2.5769e-06,70,4.3659e-06,80,4.0093e-06,90,3.8012e-06,100,4.355e-06
500,10,3.4347e-06,20,2.9807e-06,30,3.1716e-06,40,3.0599e-06,50,3.6153e-06,60,3.7545e-06,70,4.0027e-06,80,3.8458e-06,90,4.3345e-06,100,4.9312e-06
600,10,4.2145e-06,20,4.1201e-06,30,3.7304e-06,40,3.8461e-06,50,3.7072e-06,60,3.8765e-06,70,4.5886e-06,80,4.5638e-06,90,4.1258e-06,100,4.2141e-06
700,10,4.2807e-06,20,3.5817e-06,30,3.3042e-06,40,3.7274e-06,50,3.0001e-06,60,3.341e-06,70,4.0038e-06,80,4.23e-06,90,5.2198e-06,100,5.393e-06
800,10,5.1736e-06,20,3.7818e-06,30,3.708e-06,40,3.9877e-06,50,3.821e-06,60,4.0574e-06,70,3.3659e-06,80,3.9464e-06,90,3.6306e-06,100,4.0756e-06
900,10,4.0841e-06,20,4.0472e-06,30,3.8549e-06,40,4.2134e-06,50,6.9012e-06,60,3.8214e-06,70,3.9389e-06,80,4.8747e-06,90,4.2832e-06,100,4.1657e-06
1000,10,4.6039e-06,20,3.8606e-06,30,3.8062e-06,40,4.1271e-06,50,3.7486e-06,60,4.4133e-06,70,4.4287e-06,80,5.1161e-06,90,4.9653e-06,100,4.9286e-06
1100,10,4.6946e-06,20,4.5594e-06,30,4.439e-06,40,4.3847e-06,50,4.1393e-06,60,4.7955e-06,70,6.3203e-06,80,4.3063e-06,90,5.4241e-06,100,4.8523e-06
1200,10,5.4725e-06,20,4.2948e-06,30,4.2101e-06,40,4.0949e-06,50,3.7426e-06,60,4.7586e-06,70,4.7223e-06,80,4.811e-06,90,5.3466e-06,100,5.3319e-06
1300,10,5.6373e-06,20,4.5681e-06,30,3.8909e-06,40,3.2949e-06,50,4.5794e-06,60,4.4202e-06,70,5.2883e-06,80,5.2705e-06,90,4.1558e-06,100,5.7869e-06
1400,10,6.1072e-06,20,4.484e-06,30,3.9328e-06,40,4.6415e-06,50,4.2463e-06,60,4.0375e-06,70,5.2804e-06,80,4.3205e-06,90,4.7071e-06,100,5.6049e-06
1500,10,6.1102e-06,20,5.2662e-06,30,4.3709e-06,40,4.9445e-06,50,3.9949e-06,60,5.5089e-06,70,5.029e-06,80,4.667e-06,90,5.6477e-06,100,5.281e-06
