text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
100,10,6.6067e-06,20,7.0418e-06,30,7.0821e-06,40,7.3211e-06,50,9.0958e-06,60,1.03897e-05,70,1.04098e-05,80,1.20562e-05,90,1.56687e-05,100,1.4966e-05
200,10,8.9029e-06,20,1.05472e-05,30,1.15018e-05,40,1.34255e-05,50,1.19597e-05,60,1.21947e-05,70,1.6066e-05,80,1.50467e-05,90,1.88021e-05,100,1.89115e-05
300,10,1.22423e-05,20,1.26521e-05,30,1.80034e-05,40,8.703e-06,50,1.04281e-05,60,1.1297e-05,70,1.0904e-05,80,1.08586e-05,90,1.13653e-05,100,1.18341e-05
400,10,9.4359e-06,20,1.04043e-05,30,1.09701e-05,40,1.09455e-05,50,1.09581e-05,60,1.28334e-05,70,1.1336e-05,80,1.20606e-05,90,1.44297e-05,100,1.44275e-05
500,10,1.15036e-05,20,1.2206e-05,30,1.23018e-05,40,1.31628e-05,50,1.35351e-05,60,1.35909e-05,70,1.4862e-05,80,1.59309e-05,90,1.62523e-05,100,1.56103e-05
600,10,1.30426e-05,20,1.31035e-05,30,1.41886e-05,40,1.50096e-05,50,1.58586e-05,60,1.50929e-05,70,1.58629e-05,80,1.79121e-05,90,1.76622e-05,100,2.01518e-05
700,10,1.48505e-05,20,1.53653e-05,30,1.6157e-05,40,1.68434e-05,50,1.76273e-05,60,1.77303e-05,70,1.95305e-05,80,1.78037e-05,90,1.98706e-05,100,2.01005e-05
800,10,1.66746e-05,20,1.7539e-05,30,1.82109e-05,40,1.88155e-05,50,1.88531e-05,60,2.04077e-05,70,1.97957e-05,80,2.169e-05,90,2.08946e-05,100,2.22731e-05
900,10,1.87738e-05,20,1.92164e-05,30,2.02865e-05,40,2.20151e-05,50,2.10462e-05,60,2.19285e-05,70,2.21417e-05,80,2.19029e-05,90,2.39373e-05,100,2.49481e-05
1000,10,2.09774e-05,20,2.10637e-05,30,2.19645e-05,40,2.17112e-05,50,2.33886e-05,60,2.3103e-05,70,2.4592e-05,80,2.53128e-05,90,2.64059e-05,100,2.58597e-05
