benchmark, algorithm, time, operations
bad_1,naive,4.964e-07,18
bad_1,rabin_karp,5.777e-07,2
bad_1,BMH,1.8201e-06,10
bad_1,KMP,1.388e-06,10
bad_2,naive,1.09961e-05,910
bad_2,rabin_karp,5.6909e-06,10
bad_2,BMH,3.7222e-06,100
bad_2,KMP,4.702e-06,100
bad_3,naive,0.00100703,90100
bad_3,rabin_karp,8.07347e-05,100
bad_3,BMH,2.38779e-05,1000
bad_3,KMP,4.09054e-05,1000
bad_4,naive,0.0440236,4001000
bad_4,rabin_karp,0.000617018,1000
bad_4,BMH,0.000111947,5000
bad_4,KMP,0.000208809,5000
good_1,naive,2.44523e-05,1241
good_1,rabin_karp,7.47426e-05,32
good_1,BMH,1.8282e-06,1
good_1,KMP,2.43222e-05,176
good_2,naive,2.63886e-05,1363
good_2,rabin_karp,9.82582e-05,149
good_2,BMH,3.1511e-06,9
good_2,KMP,3.18434e-05,392
good_3,naive,8.82977e-05,4629
good_3,rabin_karp,0.000416401,687
good_3,BMH,1.60984e-05,724
good_3,KMP,0.000115025,1681
good_4,naive,0.000499348,22461
good_4,rabin_karp,0.00154845,168
good_4,BMH,1.17121e-05,346
good_4,KMP,0.000427124,5392
