text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
100,10,7.7298e-06,20,7.5166e-06,30,6.5476e-06,40,5.693e-06,50,4.8599e-06,60,3.976e-06,70,2.9953e-06,80,1.9784e-06,90,1.1991e-06,100,3.377e-07
200,10,1.56851e-05,20,1.64486e-05,30,1.55687e-05,40,1.45849e-05,50,1.63406e-05,60,8.9189e-06,70,8.258e-06,80,7.0943e-06,90,7.3099e-06,100,6.0777e-06
300,10,1.65926e-05,20,1.76417e-05,30,1.72666e-05,40,1.62987e-05,50,1.56841e-05,60,1.52562e-05,70,1.44859e-05,80,1.27166e-05,90,1.21622e-05,100,1.15376e-05
400,10,2.35829e-05,20,2.46326e-05,30,2.33763e-05,40,2.24699e-05,50,2.19458e-05,60,2.14146e-05,70,1.79185e-05,80,1.59883e-05,90,1.55562e-05,100,1.50583e-05
500,10,2.42509e-05,20,2.62777e-05,30,2.57762e-05,40,2.65416e-05,50,2.49256e-05,60,2.41724e-05,70,2.32765e-05,80,2.09461e-05,90,2.04457e-05,100,1.99143e-05
600,10,2.92587e-05,20,3.14492e-05,30,3.11076e-05,40,3.04843e-05,50,3.00235e-05,60,3.71589e-05,70,2.8738e-05,80,2.60288e-05,90,2.55416e-05,100,2.51173e-05
700,10,3.39593e-05,20,3.67146e-05,30,3.74669e-05,40,3.58167e-05,50,3.52426e-05,60,3.48328e-05,70,3.3969e-05,80,3.08001e-05,90,3.03026e-05,100,2.98223e-05
800,10,3.89956e-05,20,4.34307e-05,30,4.18307e-05,40,4.11298e-05,50,4.11167e-05,60,4.02009e-05,70,3.92812e-05,80,3.57823e-05,90,3.65186e-05,100,3.47406e-05
900,10,4.39114e-05,20,4.80653e-05,30,4.71759e-05,40,4.68095e-05,50,4.59312e-05,60,4.58064e-05,70,4.47496e-05,80,4.07242e-05,90,4.0169e-05,100,3.96596e-05
1000,10,4.87758e-05,20,5.28421e-05,30,5.27644e-05,40,5.22955e-05,50,5.17387e-05,60,5.31118e-05,70,5.00466e-05,80,4.57849e-05,90,4.62579e-05,100,4.48593e-05
1100,10,5.37624e-05,20,5.8242e-05,30,5.92007e-05,40,5.87025e-05,50,5.64403e-05,60,5.69548e-05,70,5.531e-05,80,5.05143e-05,90,5.01663e-05,100,4.9673e-05
1200,10,5.86088e-05,20,6.42046e-05,30,6.37738e-05,40,6.25167e-05,50,6.3061e-05,60,6.19025e-05,70,6.077e-05,80,5.55743e-05,90,5.50813e-05,100,5.45211e-05
1300,10,6.34805e-05,20,6.91134e-05,30,6.91291e-05,40,6.79117e-05,50,6.73719e-05,60,6.72557e-05,70,6.61197e-05,80,6.07528e-05,90,6.00357e-05,100,5.95321e-05
1400,10,6.84469e-05,20,7.50126e-05,30,7.41308e-05,40,7.31215e-05,50,7.26494e-05,60,7.26565e-05,70,7.15045e-05,80,6.53625e-05,90,6.50228e-05,100,6.49244e-05
1500,10,7.3438e-05,20,7.99049e-05,30,8.04719e-05,40,7.86422e-05,50,7.80742e-05,60,7.8114e-05,70,7.7884e-05,80,7.0353e-05,90,6.98449e-05,100,6.93391e-05
1600,10,7.83821e-05,20,8.71518e-05,30,8.51096e-05,40,8.52596e-05,50,8.33283e-05,60,8.35639e-05,70,8.21675e-05,80,7.53642e-05,90,7.49095e-05,100,7.44924e-05
1700,10,8.33771e-05,20,9.07997e-05,30,9.04315e-05,40,8.99754e-05,50,8.95193e-05,60,8.99372e-05,70,8.80846e-05,80,8.03966e-05,90,8.00236e-05,100,7.95985e-05
1800,10,8.81308e-05,20,9.54604e-05,30,9.64089e-05,40,9.4792e-05,50,9.43141e-05,60,9.45349e-05,70,9.3032e-05,80,8.5037e-05,90,8.47227e-05,100,8.41222e-05
1900,10,9.30566e-05,20,0.000101901,30,0.000100734,40,0.000100552,50,9.97641e-05,60,9.99499e-05,70,9.85057e-05,80,9.01388e-05,90,9.07477e-05,100,8.90767e-05
2000,10,9.79453e-05,20,0.000106506,30,0.000106905,40,0.000105821,50,0.000105188,60,0.000105701,70,0.000103856,80,9.51125e-05,90,9.46007e-05,100,9.45721e-05
2100,10,0.000102878,20,0.000113468,30,0.000113455,40,0.000111184,50,0.000110457,60,0.000111176,70,0.000109104,80,0.000100335,90,9.98356e-05,100,9.90144e-05
2200,10,0.000108989,20,0.000117392,30,0.000118367,40,0.000117533,50,0.000115929,60,0.000115885,70,0.000114382,80,0.000105339,90,0.000104673,100,0.000104292
2300,10,0.00011279,20,0.000123369,30,0.000124682,40,0.000123165,50,0.000121552,60,0.000121838,70,0.000119895,80,0.000111465,90,0.000109927,100,0.000109444
2400,10,0.000117716,20,0.000129957,30,0.000129442,40,0.000127528,50,0.000126751,60,0.000126957,70,0.00012522,80,0.000116668,90,0.000114804,100,0.00011411
2500,10,0.000123675,20,0.000134428,30,0.000132862,40,0.000132673,50,0.000131992,60,0.000133641,70,0.000130604,80,0.000120187,90,0.000119553,100,0.000119112
2600,10,0.00012763,20,0.000139981,30,0.00013946,40,0.000138005,50,0.000138975,60,0.000137815,70,0.000136006,80,0.000125743,90,0.000124511,100,0.000123917
2700,10,0.000132464,20,0.000144812,30,0.000145801,40,0.000143395,50,0.000142775,60,0.000143045,70,0.000141455,80,0.000129736,90,0.000129463,100,0.000128842
2800,10,0.000137425,20,0.000149176,30,0.000150281,40,0.000148888,50,0.000148305,60,0.000149069,70,0.000146654,80,0.00014111,90,0.000134313,100,0.000133819
2900,10,0.000142186,20,0.000156618,30,0.000164536,40,0.000153982,50,0.000154226,60,0.000154142,70,0.000151941,80,0.00014115,90,0.000139303,100,0.000141219
3000,10,0.000147034,20,0.000159667,30,0.000161652,40,0.000159615,50,0.000160743,60,0.000162024,70,0.000158904,80,0.000148288,90,0.000143936,100,0.000143691
3100,10,0.000151806,20,0.000166217,30,0.000168257,40,0.000164372,50,0.000164044,60,0.000166236,70,0.000162841,80,0.000149591,90,0.000149634,100,0.000149698
3200,10,0.0001568,20,0.000173307,30,0.000172904,40,0.000170128,50,0.000172266,60,0.000170344,70,0.000168019,80,0.000154588,90,0.000153928,100,0.000155221
3300,10,0.000161874,20,0.000177348,30,0.000181291,40,0.0001759,50,0.000175172,60,0.000175517,70,0.000173496,80,0.000159632,90,0.000159098,100,0.000159665
3400,10,0.000167738,20,0.000182528,30,0.000183937,40,0.000183428,50,0.000181506,60,0.000181121,70,0.000178726,80,0.000163922,90,0.000164599,100,0.00016382
3500,10,0.000173892,20,0.000188086,30,0.000191548,40,0.000186864,50,0.000185802,60,0.000186472,70,0.000184479,80,0.000169405,90,0.000169092,100,0.000168364
3600,10,0.000177556,20,0.000196887,30,0.00019353,40,0.000192806,50,0.000191104,60,0.000191859,70,0.000189694,80,0.000174099,90,0.000174789,100,0.000173397
3700,10,0.000181969,20,0.000198602,30,0.000198501,40,0.000197108,50,0.000196713,60,0.000197748,70,0.00019496,80,0.000179344,90,0.000178828,100,0.00017873
3800,10,0.000186956,20,0.000205929,30,0.000204283,40,0.000203939,50,0.000202432,60,0.000202822,70,0.000200253,80,0.00018444,90,0.000185226,100,0.000183295
3900,10,0.000191841,20,0.000210408,30,0.000210165,40,0.00020769,50,0.000207295,60,0.00020808,70,0.000205914,80,0.000192876,90,0.000188569,100,0.000188212
4000,10,0.000196519,20,0.000220094,30,0.000215313,40,0.00021334,50,0.000214123,60,0.000213606,70,0.000211848,80,0.000195413,90,0.000193697,100,0.000194807
4100,10,0.000201768,20,0.000220321,30,0.000221371,40,0.000219334,50,0.000218534,60,0.000219601,70,0.000217167,80,0.000198804,90,0.000200074,100,0.000198135
4200,10,0.000207296,20,0.000224906,30,0.000226294,40,0.000224504,50,0.00022366,60,0.000225313,70,0.000222304,80,0.000204181,90,0.00020361,100,0.00020306
4300,10,0.000211594,20,0.000231295,30,0.000230617,40,0.000230138,50,0.000230305,60,0.000229709,70,0.000228719,80,0.000208709,90,0.0002095,100,0.000208256
4400,10,0.000216151,20,0.000239225,30,0.00023711,40,0.00023485,50,0.000234586,60,0.000235169,70,0.00023402,80,0.000213769,90,0.000213633,100,0.00021417
4500,10,0.000220977,20,0.000243184,30,0.000241835,40,0.000240025,50,0.000239886,60,0.000240704,70,0.000237901,80,0.000219018,90,0.000219865,100,0.000217798
