text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
100,10,5.8967e-06,20,6.9643e-06,30,7.5499e-06,40,9.4816e-06,50,1.00282e-05,60,1.17701e-05,70,1.32092e-05,80,1.60742e-05,90,1.77476e-05,100,1.87389e-05
200,10,1.10939e-05,20,1.30497e-05,30,1.47436e-05,40,1.57648e-05,50,1.67825e-05,60,1.89172e-05,70,1.92639e-05,80,2.0989e-05,90,2.19707e-05,100,2.55546e-05
300,10,1.65137e-05,20,1.92705e-05,30,2.14902e-05,40,2.26756e-05,50,2.45711e-05,60,2.59629e-05,70,2.8398e-05,80,3.15384e-05,90,3.15344e-05,100,2.97389e-05
400,10,2.19472e-05,20,2.52623e-05,30,2.76054e-05,40,3.06666e-05,50,3.06536e-05,60,3.58061e-05,70,3.93901e-05,80,3.78341e-05,90,4.18036e-05,100,4.01983e-05
500,10,2.71818e-05,20,3.17786e-05,30,3.49933e-05,40,3.67341e-05,50,3.76717e-05,60,4.07486e-05,70,4.21083e-05,80,4.84174e-05,90,4.58703e-05,100,4.67733e-05
600,10,3.23661e-05,20,3.73465e-05,30,4.17509e-05,40,4.62891e-05,50,4.42589e-05,60,4.7075e-05,70,5.15027e-05,80,5.43005e-05,90,5.09916e-05,100,5.74591e-05
700,10,3.78316e-05,20,4.37666e-05,30,4.74304e-05,40,5.18239e-05,50,4.9789e-05,60,5.51618e-05,70,5.90288e-05,80,6.44434e-05,90,6.01158e-05,100,6.85566e-05
800,10,4.31751e-05,20,4.99597e-05,30,5.48362e-05,40,5.77475e-05,50,5.80206e-05,60,6.537e-05,70,6.671e-05,80,6.91978e-05,90,7.08901e-05,100,7.52302e-05
900,10,4.8601e-05,20,5.52008e-05,30,6.05345e-05,40,6.43524e-05,50,6.4842e-05,60,7.05129e-05,70,7.36067e-05,80,8.12456e-05,90,7.78975e-05,100,8.12706e-05
1000,10,5.3831e-05,20,6.1791e-05,30,6.76844e-05,40,7.26223e-05,50,7.15752e-05,60,7.76956e-05,70,8.15278e-05,80,8.4404e-05,90,8.44439e-05,100,9.30567e-05
1100,10,5.90796e-05,20,6.80943e-05,30,7.41083e-05,40,7.8386e-05,50,8.13264e-05,60,8.57208e-05,70,9.03413e-05,80,9.49277e-05,90,9.14471e-05,100,9.80562e-05
1200,10,6.46281e-05,20,7.3932e-05,30,8.25591e-05,40,8.64184e-05,50,8.54451e-05,60,9.39316e-05,70,9.86475e-05,80,9.91427e-05,90,0.000103046,100,0.000105243
1300,10,6.96714e-05,20,8.00702e-05,30,8.86346e-05,40,9.25447e-05,50,9.38045e-05,60,9.88465e-05,70,0.000105332,80,0.000111847,90,0.000107931,100,0.00011115
