,benchmark,algorithm,time,operations,profit,profit_dataset
0,1,knapsack_dp,0.0038068294525146484,10,309,309
1,1,approx,5.7220458984375e-05,10,309,309
2,1,branch_and_bound,0.051844120025634766,412,309,309
3,1,fptas,0.003442049026489258,10,309,309
4,2,knapsack_dp,0.00039124488830566406,4,51,51
5,2,approx,4.00543212890625e-05,5,47,51
6,2,branch_and_bound,0.004647731781005859,44,51,51
7,2,fptas,0.00047469139099121094,4,51,51
8,3,knapsack_dp,0.0027337074279785156,6,150,150
9,3,approx,4.5299530029296875e-05,6,146,150
10,3,branch_and_bound,0.007517099380493164,74,150,150
11,3,fptas,0.002424955368041992,6,150,150
12,4,knapsack_dp,0.0009410381317138672,7,107,107
13,4,approx,4.553794860839844e-05,6,97,107
14,4,branch_and_bound,0.00839996337890625,85,107,107
15,4,fptas,0.0009765625,7,107,107
16,5,knapsack_dp,0.002157926559448242,8,900,900
17,5,approx,4.8160552978515625e-05,7,750,900
18,5,branch_and_bound,0.0379948616027832,412,900,900
19,5,fptas,0.002139568328857422,7,850,900
20,6,knapsack_dp,0.0029277801513671875,6,1735,1735
21,6,approx,4.744529724121094e-05,7,1478,1735
22,6,branch_and_bound,0.017986297607421875,155,1735,1735
23,6,fptas,0.0026607513427734375,6,1735,1735
24,7,knapsack_dp,0.03014826774597168,15,1458,1458
25,7,approx,7.605552673339844e-05,15,1441,1458
26,7,branch_and_bound,2.487830400466919,23015,1458,1458
27,7,fptas,0.02567005157470703,14,1448,1458
